filename,fractal_dimension,entropy,lacunarity,SRE,LRE,RPC,Minor_Axis_Length,Solidity,Integrated_Density,Label
11-F-GBM.jpg,1.6704808818516448,6.185736464451082,0.0510861901328105,2.524,22.567,61.612,3.4040962478687864,0.8936666933075458,210754018.0,1
GBM-3.jpg,1.7533883210496402,5.646898062558559,0.0456234734255973,2.721,17.269,82.198,2.1261135320547546,0.8779133840251954,367973794.0,1
J13.jpg,1.683186612223288,6.691244769116716,0.0424791449066812,2.379,25.798,62.653,3.0886789895677,0.9298368529366804,287243205.0,1
40-F-GBM.jpg,1.6490790765898329,5.707049480548308,0.0138962507226415,2.371,28.761,45.377,1.1560057189427757,0.9431698777084708,131131353.0,1
22-F-GBM.jpg,1.67172211515834,5.466148295032239,0.0450785665000407,2.494,94.234,46.221,3.797028696850932,0.8969137767677227,254769829.0,1
J11.jpg,1.5053192327481173,6.667464624138934,0.0327441102922174,1.94,77.189,46.209,2.2423625595557444,0.9222330515865946,321280192.0,1
35-M-GBM(1).jpg,1.7009218415270655,6.583009130669032,0.0171982936614018,2.307,36.115,43.909,2.556418365491589,0.8858831796526083,158052153.0,1
J12.jpg,1.6422059146530794,6.564803175000598,0.0290175730211765,2.214,38.863,58.653,2.406519207967442,0.8990702279270193,319962763.0,1
61-F-GBM.jpg,1.708721364236291,5.253819006064238,0.047127943495289,2.856,21.995,69.476,5.660201129879954,0.870457540082825,343906800.0,1
35-M-GBM-3.jpg,1.6512375607012375,5.864613902401383,0.0322876423996063,2.102,57.592,44.853,3.300249182813633,0.9056606090851802,231694875.0,1
35-M-GBM.jpg,1.7009218415270655,6.583009130669032,0.0171982936614018,2.307,36.115,43.909,2.556418365491589,0.8858831796526083,158052153.0,1
GBM-8.jpg,1.8316178218788972,6.185570033325049,0.0309241653365114,2.595,22.957,64.011,3.3690398622555437,0.8509407721828371,265577261.0,1
43--M-GBM.jpg,1.5053056982918556,6.125822046680275,0.0340126360941305,2.213,58.663,43.864,2.017825787879145,0.9486416268987462,160993186.0,1
58-M-GBM.jpg,1.6761291802872578,4.819340442366284,0.0324860975044396,2.624,314.24,40.167,3.6303311799977447,0.8930550907013433,345661509.0,1
J8.jpg,1.3883480718041428,6.768905085713716,0.0300071259006714,1.799,272.87,27.012,2.597082162831483,0.9447716074467994,201730386.0,1
38-M-GBM(1).jpg,1.7568905251068825,6.057160913583759,0.0089610919916268,1.913,59.746,47.26,3.041412413988221,0.8899670086278013,303000616.0,1
J2.jpg,1.7608483633020369,7.066885152228989,0.0391094961760241,2.246,34.207,58.892,4.224182009037631,0.899613575456424,265006820.0,1
J9.jpg,1.4571882527369235,6.837346031764052,0.0557975252073809,1.84,62.091,47.372,2.976220734028197,0.9227231235825082,277484413.0,1
J7.jpg,1.6693347596228083,6.928718238202489,0.0365393272627864,2.14,57.613,61.263,3.0657201346764555,0.8853303186871914,390175098.0,1
J1.jpg,1.6853371884480486,6.809828560432568,0.0282973787419712,1.889,49.262,55.257,3.511144518138821,0.9160899157257624,310872337.0,1
J5.jpg,1.6862269104527794,6.682960471698554,0.0205821044345414,1.954,44.792,59.735,3.255313492207644,0.9110528809537342,335025060.0,1
J3.jpg,1.6373733030751558,7.35647642840568,0.0534151220746456,1.922,54.481,52.951,3.035890285314332,0.8787193391972593,197664245.0,1
J6.jpg,1.5938551283672602,7.037873556314507,0.0604103385243754,2.107,40.443,63.27,2.5027260726953475,0.9407957593759302,313857667.0,1
Normal cebellum-10.jpg,1.5019337071391468,5.48657980671795,0.0097098923769744,2.084,487.694,11.072,1.5546466683604048,0.9370724274396716,66608210.0,0
Normal cebellum-3.jpg,1.5942297597813622,5.2030503508468415,0.0067170792774452,2.078,168.605,16.299,1.3586017968786792,0.9499302860939196,73144478.0,0
Normal cebellum-5.jpg,1.362621923002283,4.90945400506696,0.0097478217722825,1.959,736.395,9.007,3.2044660059464447,0.9504374433186196,77892340.0,0
Normal cebellum-2.jpg,1.386064016140696,5.776786731206818,0.0150131508160109,2.134,305.368,14.391,1.9057912538560904,0.9457119676091956,62943236.0,0
Normal cebellum-7.jpg,1.5553462816971924,4.209083651741342,0.0062827598760124,2.172,404.894,14.434,2.067256497836127,0.9320160107806258,103351899.0,0
Normal cebellum-4.jpg,1.6639719732071516,5.035585765167102,0.0065278625737841,2.131,61.05,24.251,1.781209855027541,0.9191217099637684,80325409.0,0
Normal cebellum-6.jpg,1.430471870839932,4.2377298399454935,0.0086986987111396,2.075,1227.301,8.719,2.7412040045903643,0.9558456201261432,97365236.0,0
Normal cebellum-8.jpg,1.489790941099844,5.267526394878539,0.0078050389534632,2.315,38.808,29.105,1.9358664722099763,0.9165853350182532,61537370.0,0
Normal cebellum-1.jpg,1.475560416043426,5.583033392907161,0.0071629170315854,2.256,90.675,27.029,1.9420045700951016,0.9206891792247672,65259907.0,0
Normal cebellum-9.jpg,1.458087199385022,5.741484376045912,0.0115477504107988,2.039,380.533,12.236,1.7829746475994146,0.9350373107782184,60554426.0,0
F5.jpg,1.5045998726729888,6.128217372832403,0.04007706334692,2.299,183.856,16.553,2.404712211642541,0.9205971796454322,66005307.0,0
G3.jpg,1.6944917486620112,6.695280937563733,0.0244883161020696,2.345,233.315,19.639,1.9740439340201763,0.8881411747474414,51263250.0,0
G5.jpg,1.5379410279098635,6.730510568194265,0.0326029054790923,2.146,78.708,20.516,1.4450239490794583,0.945534121504059,34391565.0,0
G1.jpg,1.660829347370105,7.112078672930149,0.0538009936458513,2.506,22.274,31.894,1.4155756960272774,0.9323854574482938,41135635.0,0
F3.jpg,1.5852925242079494,6.782774487259024,0.0503248146185506,2.537,285.289,17.694,1.3018963989534889,0.9445871653507046,59244968.0,0
F9.jpg,1.5980058737269611,6.235709499192531,0.0264334728118712,2.396,26.257,28.948,0.942968191243282,0.9632839376769552,47171035.0,0
F2.jpg,1.5769549483328886,6.654718143085447,0.0251302576614617,2.237,35.049,25.004,1.9573370829177112,0.918408955036448,43236679.0,0
G9.jpg,1.6736210342959514,6.622194970058079,0.0344590787311678,2.329,34.007,27.747,1.8280255721827772,0.9273677508379952,43477090.0,0
G4.jpg,1.6632542775908326,6.656733959065914,0.0236562911773004,2.361,28.88,28.085,1.991670565308325,0.8846819389997704,40344565.0,0
G8.jpg,1.6191764133341406,5.739869332007682,0.0347587203379588,2.526,126.662,19.114,1.953240345782161,0.9317099425415823,73822871.0,0
G7.jpg,1.6883226867158614,6.056951914779464,0.0254051162325864,2.546,28.599,29.13,1.677257560624568,0.9366133997330184,63916419.0,0
E2.jpg,1.50973969544956,6.7112873861882525,0.031549931968092,2.261,49.669,23.947,1.3309236850599355,0.9445480418918516,45203140.0,0
F4.jpg,1.5507591736805373,6.817273643140815,0.0469477764633177,2.719,42.09,30.023,2.0637214954811194,0.90882475219533,51354577.0,0
G2.jpg,1.631293641275325,7.065687597306984,0.057652332005408,2.573,24.627,28.863,1.4796598368962428,0.941206430222966,39828475.0,0
D2 (1).jpg,1.565388839074216,6.532967469425293,0.0148747000151442,2.169,117.342,17.918,1.486366797802012,0.9506028813364176,37700618.0,0
E9.jpg,1.4530911605482326,4.987891703357666,0.0256718852963818,2.054,2083.878,5.997,2.225919462199915,0.9277016544619552,83806140.0,0
E3.jpg,1.3088201573504312,6.337352157203963,0.0218744651729769,2.292,46.343,23.506,2.864026085089588,0.9278307429725068,32666657.0,0
G10.jpg,1.6226431898788192,6.671550339035932,0.0360849172874589,2.222,62.476,23.125,1.6308434181062406,0.9360284960930814,39421655.0,0
F8.jpg,1.6177358093241303,6.051391420825417,0.0187626797898586,2.363,45.96,25.855,1.6796358218677232,0.9292094623465156,63572100.0,0
E1.jpg,1.714418924883277,6.880455234768358,0.0337277362679262,2.473,29.399,29.403,1.4142286853951305,0.9315677597967824,44544567.0,0
C8.jpg,1.4074584666138823,6.592614167622538,0.0498526099128441,2.267,40.643,25.866,3.569695870228668,0.9297704626431512,40847785.0,0
E8.jpg,1.5996715314226435,6.038256453025428,0.0231413711620167,2.388,31.785,26.037,1.3598115642424795,0.9217196868410042,49539581.0,0
F1.jpg,1.7041385338855053,6.066664127106537,0.0250705744496767,2.479,151.751,21.705,2.116126268653977,0.8944581087476969,78914620.0,0
G6.jpg,1.6117240422662389,6.571728900586752,0.0299039746914733,2.251,52.827,24.309,1.378308581937236,0.9279782149434526,41723138.0,0
